Unit_Type,Operation_Type,Base_Location,Morale_Score,Supply_Level,Communication_Quality,Command_Structure,Intel_Availability,Equipment_Readiness,Training_Level,Casualty_Count,Engagement_Frequency,Resilience_Index,Success_Rate,Mission_Outcome
Infantry,Support,Urban,8.750450776966776,Medium,9.433440895400757,Flat,Limited,Fair,Intermediate,14,Occasionally,4.893484709289262,82.91814501920051,Ongoing
Infantry,Reconnaissance,Rural,5.209028072151642,Low,9.404840634924932,Flat,Limited,Fair,Advanced,1,Occasionally,5.582609481442663,98.39632607479906,Ongoing
Naval,Reconnaissance,Urban,6.196344300669589,Medium,8.466801489746372,Flat,Limited,Good,Intermediate,21,Occasionally,3.226732046568115,70.67289019970123,Ongoing
Armored,Combat,Mountainous,3.0489341287707363,Medium,8.50847917002262,Hierarchical,Limited,Fair,Advanced,41,Occasionally,5.846781062263735,65.8062710711834,Ongoing
Naval,Reconnaissance,Coastal,6.535875327033074,High,7.312861735608943,Decentralized,Limited,Poor,Basic,27,Frequently,4.544821145131668,75.0183875787867,Successful
Naval,Reconnaissance,Coastal,3.947218269778644,Medium,8.649031369908746,Flat,Extensive,Excellent,Intermediate,16,Occasionally,7.092706503277837,40.349029714919894,Ongoing
Naval,Support,Coastal,5.142841665162186,Medium,6.104172008781683,Decentralized,Extensive,Fair,Intermediate,22,Frequently,6.393170075058241,80.71537292667232,Ongoing
Infantry,Reconnaissance,Urban,4.782302749861676,Medium,2.1161110138259156,Decentralized,Minimal,Excellent,Basic,14,Frequently,4.696929398921515,55.416379326695676,Ongoing
Aviation,Training,Mountainous,7.0659484698280615,High,8.415451641824005,Flat,Limited,Fair,Intermediate,37,Rarely,6.333460315793559,87.48946117863593,Successful
Armored,Combat,Rural,2.380046891250001,Low,8.460279217896659,Decentralized,Minimal,Excellent,Advanced,33,Occasionally,3.134985601193425,49.242617065509684,Ongoing
Aviation,Reconnaissance,Coastal,0.433522730769921,High,4.356822121138428,Decentralized,Extensive,Good,Basic,29,Occasionally,3.290131215877117,61.57953716780602,Ongoing
Naval,Combat,Urban,4.573134605824151,Low,8.027445031980086,Decentralized,Extensive,Poor,Intermediate,0,Rarely,7.097774758872973,47.5036859586138,Ongoing
Naval,Combat,Coastal,5.937062513810249,Medium,7.996481131276521,Decentralized,Minimal,Excellent,Intermediate,40,Rarely,4.3340202666318035,90.48933416847686,Ongoing
Aviation,Combat,Rural,5.304538751615,Low,9.158099672219967,Hierarchical,Extensive,Fair,Advanced,15,Occasionally,6.442962993415648,44.57669535219369,Ongoing
Aviation,Reconnaissance,Mountainous,7.464408474827822,Low,6.788621666659107,Hierarchical,Limited,Good,Intermediate,24,Frequently,4.5085299658397355,65.38526711733046,Ongoing
Aviation,Reconnaissance,Rural,5.874745348359337,Low,3.9559548179531903,Hierarchical,Limited,Poor,Advanced,47,Occasionally,5.89776621817305,59.06298293520256,Ongoing
Naval,Combat,Mountainous,3.87230333628028,Low,6.03203606472055,Decentralized,Extensive,Good,Intermediate,45,Rarely,4.311282083849858,66.20592992050648,Ongoing
Naval,Training,Mountainous,0.3491596917206392,Medium,6.024819019370719,Hierarchical,Limited,Good,Basic,22,Occasionally,3.0884538806053894,84.12801878262196,Ongoing
Armored,Combat,Mountainous,4.525375531609564,High,6.765467684798421,Flat,Minimal,Excellent,Advanced,32,Occasionally,6.166743473467985,74.95313380553175,Ongoing
Armored,Training,Coastal,7.055918004515596,Low,7.244233768473259,Decentralized,Extensive,Poor,Advanced,33,Occasionally,7.174284233962632,66.77567969468656,Ongoing
Naval,Combat,Rural,4.215904434665771,Medium,6.525383903914889,Hierarchical,Minimal,Good,Intermediate,8,Frequently,2.6877049046128527,44.61487300608147,Ongoing
Aviation,Support,Coastal,5.056640527355529,Medium,7.792130942214732,Hierarchical,Extensive,Fair,Advanced,15,Frequently,5.255390983100762,95.5075411798428,Ongoing
Aviation,Combat,Rural,5.842720508613417,Medium,4.803655957169007,Decentralized,Limited,Good,Advanced,36,Rarely,4.765069808369212,72.4436944377336,Ongoing
Armored,Combat,Urban,2.9694152515003682,Medium,7.71968165920101,Decentralized,Limited,Fair,Basic,49,Frequently,6.330777790552142,75.40131215302054,Ongoing
Naval,Reconnaissance,Urban,6.246471793277635,Low,5.482110093390751,Decentralized,Limited,Good,Advanced,47,Frequently,5.769702472779988,51.77079149602037,Ongoing
Armored,Training,Rural,8.27424358000341,High,6.597125841839424,Flat,Limited,Poor,Basic,4,Rarely,5.41050800838614,87.92802462414053,Ongoing
Armored,Support,Rural,4.654373296213187,Medium,3.342281528715792,Hierarchical,Minimal,Poor,Advanced,48,Frequently,3.01401183109134,50.70867847148796,Ongoing
Infantry,Training,Rural,2.7418711563353964,High,8.887406162445682,Flat,Minimal,Poor,Basic,41,Rarely,5.894459537043062,107.89921594695531,Ongoing
Infantry,Support,Rural,4.866797945956052,High,6.3877568796333914,Hierarchical,Extensive,Excellent,Basic,11,Rarely,4.656713711610186,78.054688214977,Ongoing
Infantry,Combat,Mountainous,0.5512317827822626,High,7.677600979697584,Decentralized,Limited,Good,Basic,4,Frequently,3.8862890411232787,89.64696654264628,Ongoing
Aviation,Reconnaissance,Coastal,5.673806527953232,Medium,5.357659309391403,Hierarchical,Limited,Poor,Basic,22,Occasionally,5.511144299767129,58.6721821330339,Ongoing
Naval,Reconnaissance,Mountainous,5.904548755297157,Medium,5.880434420291067,Decentralized,Minimal,Fair,Basic,7,Frequently,4.51453362856961,67.77367205208441,Ongoing
Naval,Training,Coastal,8.351272587691124,Medium,5.067892918254303,Hierarchical,Limited,Fair,Intermediate,42,Occasionally,6.692230383834836,47.657704414107286,Ongoing
Naval,Reconnaissance,Coastal,4.61201041486675,High,7.317608631576022,Flat,Limited,Good,Advanced,34,Frequently,4.864893922127386,80.74286508308705,Ongoing
Naval,Training,Coastal,5.81697067629294,Medium,8.15051780984647,Hierarchical,Limited,Poor,Intermediate,15,Frequently,6.179482503220383,79.24718137619635,Ongoing
Infantry,Training,Mountainous,3.2774237952281977,Medium,4.997644623224712,Decentralized,Minimal,Excellent,Advanced,19,Frequently,6.399417594307256,71.57539321847352,Ongoing
Aviation,Support,Rural,4.287145758949842,High,7.279841495609745,Flat,Minimal,Poor,Advanced,27,Occasionally,5.638822837822555,74.30310457430593,Ongoing
Aviation,Training,Mountainous,1.949629126675604,Medium,6.510220937288323,Flat,Limited,Good,Basic,29,Occasionally,2.4884985764864265,60.20946890812153,Ongoing
Infantry,Support,Mountainous,4.610420757433529,Low,7.388242448588707,Hierarchical,Minimal,Excellent,Advanced,10,Rarely,4.472542122252546,52.37343041169488,Ongoing
Aviation,Reconnaissance,Coastal,4.38938169296287,Low,5.203102539207744,Hierarchical,Limited,Fair,Intermediate,49,Occasionally,3.2426275660770223,92.95050840064205,Ongoing
Infantry,Training,Urban,5.598399532177792,Low,7.9300414011457265,Flat,Extensive,Poor,Advanced,16,Occasionally,2.992950509016267,71.30805383312891,Ongoing
Naval,Training,Urban,3.7528062393347215,Low,6.442307353898643,Hierarchical,Limited,Poor,Advanced,9,Occasionally,0.7868567870576335,67.2685878389262,Ongoing
Infantry,Combat,Mountainous,5.166690701950184,High,6.723157964884778,Decentralized,Limited,Fair,Intermediate,23,Frequently,3.6402725839664507,74.1268544337745,Ongoing
Naval,Training,Coastal,4.333239888784669,Medium,11.681057697152276,Decentralized,Extensive,Good,Intermediate,30,Occasionally,4.8581731320864225,57.95947109366926,Ongoing
Naval,Training,Mountainous,4.337001223400971,Low,3.476087563764321,Hierarchical,Limited,Excellent,Intermediate,10,Frequently,5.218221466223238,101.68110909293458,Ongoing
Armored,Combat,Mountainous,5.16072465192606,Low,8.080499960719507,Flat,Limited,Fair,Basic,46,Frequently,5.312856677488527,88.40456585950443,Ongoing
Infantry,Combat,Rural,5.08104588463402,Medium,7.870490267847892,Hierarchical,Extensive,Excellent,Basic,7,Frequently,5.894747245730751,58.98562260081112,Ongoing
Armored,Reconnaissance,Coastal,6.522348078103277,High,8.261081186673403,Flat,Limited,Good,Advanced,30,Frequently,4.863825133283045,74.86730595132585,Successful
Infantry,Training,Urban,4.75871393174033,Low,8.171405085107908,Flat,Extensive,Excellent,Advanced,36,Occasionally,3.970498783949722,53.74753828363069,Ongoing
Infantry,Reconnaissance,Urban,4.300229301753994,Medium,7.386540276494407,Decentralized,Extensive,Excellent,Basic,36,Frequently,5.096401496402489,67.54079682092444,Ongoing
Armored,Reconnaissance,Urban,4.638385109825547,Medium,7.816770405073248,Hierarchical,Limited,Poor,Intermediate,32,Occasionally,2.8884677531416325,41.745722914587205,Ongoing
Armored,Combat,Mountainous,3.570671766318015,Low,12.371563201821314,Flat,Limited,Fair,Intermediate,8,Rarely,4.59117800684667,96.41928588452382,Ongoing
Infantry,Support,Coastal,4.280177812866657,Low,6.655363842197587,Flat,Limited,Excellent,Intermediate,45,Rarely,6.626430176794709,86.1727520326657,Ongoing
Aviation,Reconnaissance,Rural,9.062317426146462,Medium,6.63463294565549,Flat,Extensive,Excellent,Basic,2,Frequently,3.2319577534437913,60.082036743794234,Ongoing
Naval,Support,Urban,3.174642478608266,Medium,4.865978034861713,Flat,Extensive,Fair,Intermediate,48,Rarely,4.462160698986028,65.31824082334334,Ongoing
Armored,Training,Coastal,4.442687332241381,Low,5.350086804387628,Decentralized,Minimal,Fair,Advanced,12,Rarely,4.616308016839244,70.09374295854238,Ongoing
Naval,Combat,Urban,4.225022673460619,Low,7.447183385462435,Decentralized,Extensive,Good,Basic,27,Rarely,6.271515477233362,86.59134780893152,Ongoing
Aviation,Training,Rural,4.505656775511201,Low,7.737960758493137,Decentralized,Minimal,Fair,Intermediate,23,Frequently,4.633178343389462,73.26876562039399,Ongoing
Aviation,Training,Coastal,4.33752138224321,Low,6.77461131118298,Decentralized,Extensive,Excellent,Advanced,9,Rarely,7.331173826154617,59.82188598046765,Ongoing
Aviation,Combat,Mountainous,5.5584802024419995,High,8.304887787638823,Decentralized,Limited,Poor,Advanced,41,Frequently,5.732229388525173,72.52498771619082,Ongoing
Armored,Training,Mountainous,1.5796497972164114,Medium,6.198295659710413,Hierarchical,Limited,Good,Intermediate,36,Occasionally,5.873053790267886,92.42685397942269,Ongoing
Aviation,Combat,Urban,7.074342945064009,Low,11.97052035801288,Hierarchical,Limited,Fair,Basic,14,Rarely,4.522322294989156,78.11724994269134,Ongoing
Armored,Support,Urban,6.265165599284394,Medium,7.305370809608008,Decentralized,Minimal,Fair,Basic,41,Frequently,2.028939124989697,74.38747196088332,Ongoing
Aviation,Training,Coastal,2.5142568278737305,Low,8.347771892518292,Flat,Limited,Fair,Intermediate,27,Occasionally,6.235695018175623,95.16890157669724,Ongoing
Naval,Combat,Rural,0.4618454540951973,High,7.32306244153304,Flat,Extensive,Good,Basic,36,Rarely,3.4437002924903277,62.61409088841901,Ongoing
Naval,Reconnaissance,Urban,3.0458557077171977,Medium,5.7954615598609385,Hierarchical,Limited,Good,Advanced,0,Rarely,7.59408927377869,74.88934336732032,Ongoing
Infantry,Training,Coastal,4.514667077145755,High,5.985674371512137,Hierarchical,Limited,Fair,Intermediate,12,Frequently,6.388737917783676,57.186140779631195,Ongoing
Naval,Support,Rural,10.16058379738155,Medium,4.70650626940844,Hierarchical,Extensive,Good,Basic,3,Rarely,3.8403772354930585,58.80518498667236,Ongoing
Infantry,Combat,Urban,6.086513929948547,High,3.5552382000745744,Decentralized,Minimal,Poor,Basic,39,Rarely,5.465855933226722,89.04270034902504,Ongoing
Naval,Training,Urban,1.3848207016370848,Low,8.89960680152676,Flat,Limited,Excellent,Basic,29,Frequently,3.885124316610259,48.91875989572703,Ongoing
Armored,Training,Coastal,3.6206889901981123,Low,5.781511089468969,Flat,Minimal,Poor,Intermediate,2,Occasionally,7.388155792671608,25.158635598242647,Ongoing
Naval,Training,Urban,4.893575127454033,High,6.871525090777126,Hierarchical,Minimal,Excellent,Intermediate,19,Occasionally,9.470688234312362,89.02630804826339,Ongoing
Infantry,Support,Mountainous,5.507367108596194,Low,10.06551555603796,Hierarchical,Limited,Good,Advanced,34,Rarely,3.097639881432411,39.68046645323315,Ongoing
Infantry,Combat,Rural,2.370502279379154,High,9.337867118125972,Hierarchical,Extensive,Fair,Intermediate,26,Frequently,3.668244073931634,89.51104903836307,Ongoing
Aviation,Reconnaissance,Rural,4.730019544045877,High,7.299876599237981,Hierarchical,Minimal,Good,Intermediate,47,Occasionally,6.438600515917816,75.63266186771651,Ongoing
Armored,Reconnaissance,Mountainous,3.5647217247789187,Medium,6.578652082139601,Decentralized,Extensive,Poor,Basic,11,Occasionally,5.880634682655301,63.66608003105978,Ongoing
Naval,Reconnaissance,Coastal,2.792482874795367,High,6.6931914186235355,Flat,Minimal,Poor,Basic,44,Occasionally,3.45695312537648,72.2991035201097,Ongoing
Aviation,Combat,Mountainous,5.519191293397908,Medium,11.404999384754746,Decentralized,Limited,Good,Intermediate,40,Occasionally,4.506656653881423,58.310656368359105,Ongoing
Naval,Reconnaissance,Mountainous,6.547754346885645,High,7.344781530889623,Flat,Extensive,Fair,Basic,15,Frequently,5.085770507518033,53.58695223747312,Successful
Naval,Support,Rural,6.682082553923239,Medium,12.983813765456873,Decentralized,Extensive,Fair,Basic,31,Occasionally,4.485373157983701,82.7787056998451,Ongoing
Aviation,Combat,Coastal,6.1487727022677525,Medium,4.398747481710074,Flat,Minimal,Excellent,Intermediate,32,Occasionally,4.212774675936746,61.51935285417758,Ongoing
Aviation,Training,Urban,4.005260933719474,Low,7.093901860684145,Decentralized,Extensive,Poor,Intermediate,15,Occasionally,2.740831399971259,101.0065800312016,Ongoing
Aviation,Support,Mountainous,6.429099522927012,Medium,9.331535242616182,Flat,Limited,Excellent,Basic,28,Rarely,7.555230147896891,69.49197917774069,Ongoing
Aviation,Training,Mountainous,5.618108876208575,Medium,9.160198117164349,Decentralized,Extensive,Good,Advanced,26,Occasionally,5.654606325539146,71.54338959296396,Ongoing
Aviation,Reconnaissance,Coastal,5.267883765904027,High,8.26318931981244,Flat,Extensive,Excellent,Advanced,30,Rarely,7.567887233119589,58.36230342884641,Ongoing
Naval,Support,Mountainous,3.7766137565964035,Medium,5.779374443595197,Hierarchical,Minimal,Fair,Intermediate,23,Occasionally,4.030611914781848,75.72958927432359,Ongoing
Aviation,Combat,Coastal,4.006247745316943,Low,4.373937633156096,Flat,Extensive,Poor,Advanced,30,Frequently,4.644299700596364,72.41209900889564,Ongoing
Armored,Support,Urban,5.147773872249108,High,6.642377144171409,Flat,Extensive,Fair,Basic,8,Frequently,5.660673575993081,61.54830300211326,Ongoing
Infantry,Training,Coastal,9.879748933971003,Medium,9.08651226888308,Decentralized,Limited,Excellent,Basic,44,Frequently,3.3778863041119878,74.85720816039222,Ongoing
Aviation,Combat,Urban,5.60248496018278,High,10.400045399101352,Hierarchical,Extensive,Good,Intermediate,35,Rarely,6.629717769204951,67.11506845935364,Ongoing
Aviation,Support,Coastal,3.777622995499428,High,7.22169245581772,Decentralized,Limited,Excellent,Advanced,5,Rarely,3.8065402480744446,66.44118527316445,Ongoing
Naval,Support,Mountainous,3.3352211100611147,High,6.803763537118511,Flat,Extensive,Fair,Basic,29,Occasionally,5.688630863169738,87.4792818039778,Ongoing
Aviation,Support,Urban,4.016466774687594,High,7.417552582608591,Flat,Extensive,Poor,Basic,25,Frequently,5.014679883199826,50.897793678413976,Ongoing
Aviation,Support,Mountainous,9.35458689509813,High,7.440265008245541,Flat,Limited,Excellent,Advanced,39,Occasionally,5.167197307182011,84.82515693743822,Successful
Aviation,Combat,Urban,4.201486708108076,Medium,9.373254427534118,Flat,Extensive,Poor,Basic,6,Occasionally,6.348900137151212,50.689358794295764,Ongoing
Naval,Training,Coastal,6.81374106922057,High,6.263274334133139,Decentralized,Extensive,Poor,Basic,7,Frequently,2.5968495619995364,67.9168347822255,Ongoing
Aviation,Support,Coastal,4.248143509057288,High,6.763439793923074,Hierarchical,Minimal,Excellent,Advanced,10,Occasionally,3.0286746384964776,75.18545749743654,Ongoing
Infantry,Combat,Coastal,5.5223690825592575,Low,7.924016904026477,Flat,Minimal,Fair,Advanced,2,Rarely,5.227974338466319,66.43513698677471,Ongoing
Naval,Training,Rural,6.583490548017444,Low,5.735536588631949,Decentralized,Extensive,Good,Intermediate,3,Rarely,5.290279990446744,81.97072602929526,Ongoing
Infantry,Support,Rural,3.856194300380152,High,5.1612504401113855,Decentralized,Limited,Fair,Advanced,32,Frequently,4.030090379616082,77.35755146230481,Ongoing
Naval,Training,Urban,3.7177766916944606,Medium,9.807154617318712,Decentralized,Minimal,Excellent,Intermediate,19,Frequently,4.741406763286864,55.01657899926519,Ongoing
Aviation,Training,Rural,8.31773938891066,Low,6.952039490790948,Decentralized,Extensive,Poor,Advanced,4,Frequently,0.47767266791977825,66.28273685273663,Ongoing
Infantry,Combat,Coastal,6.969185789791593,Low,8.781308788170529,Decentralized,Minimal,Fair,Intermediate,33,Frequently,6.143879326392466,73.06217179678472,Ongoing
Naval,Training,Rural,6.581344637381457,High,8.38055559206961,Flat,Extensive,Good,Basic,13,Occasionally,6.607701774041349,87.09841280725145,Successful
Armored,Combat,Rural,6.574552586245828,Medium,4.249284019610698,Flat,Limited,Poor,Intermediate,12,Occasionally,5.219823501537472,84.57628246341477,Ongoing
Aviation,Support,Mountainous,5.919150976622131,Medium,5.695003929614539,Hierarchical,Minimal,Good,Intermediate,48,Frequently,3.8090008284875654,70.04068418449955,Ongoing
Naval,Training,Urban,9.03555162635013,Low,7.127588672081244,Hierarchical,Minimal,Poor,Basic,44,Frequently,5.221680127770559,94.88176161019838,Ongoing
Armored,Training,Urban,5.087816603754313,Low,6.518830875094071,Hierarchical,Extensive,Good,Advanced,23,Occasionally,5.380822370981133,44.7692101907447,Ongoing
Naval,Reconnaissance,Urban,6.154524734401839,Low,7.489589686499757,Hierarchical,Limited,Good,Advanced,29,Occasionally,3.5283543635059473,58.592653015151924,Ongoing
Armored,Support,Rural,2.098174142811975,Low,7.371196097003207,Decentralized,Limited,Excellent,Intermediate,39,Rarely,7.029599424918521,67.67798989933243,Ongoing
Aviation,Support,Coastal,3.3500786268175182,Low,8.571216762751051,Decentralized,Limited,Excellent,Advanced,10,Occasionally,7.649897666935471,75.08402392749902,Ongoing
Infantry,Reconnaissance,Mountainous,2.598362000329919,High,6.912695417798215,Decentralized,Extensive,Poor,Intermediate,8,Frequently,5.934037345087706,78.83491835401448,Ongoing
Armored,Reconnaissance,Urban,7.548127167032298,High,7.138897125975912,Decentralized,Limited,Excellent,Basic,12,Frequently,2.64149159487845,51.43988331437947,Successful
Naval,Combat,Rural,-0.1050803040414996,High,4.1252082800469765,Decentralized,Limited,Excellent,Advanced,12,Rarely,5.047191222628887,68.03617671151382,Ongoing
Aviation,Combat,Coastal,4.1953799544945545,Low,5.797748466858531,Decentralized,Extensive,Good,Advanced,31,Rarely,5.257470071112408,77.71042140011026,Ongoing
Armored,Training,Mountainous,-0.9874132053212454,High,5.896774118576865,Decentralized,Limited,Poor,Advanced,6,Rarely,8.025041421110057,54.818629208293515,Ongoing
Naval,Training,Mountainous,3.33742420903622,Low,6.111915608294792,Decentralized,Limited,Good,Basic,10,Occasionally,5.274493064684398,68.31555074124181,Ongoing
Naval,Training,Urban,4.018102100536267,Medium,6.257891338666446,Hierarchical,Minimal,Excellent,Intermediate,48,Occasionally,2.5289901624696727,80.301143915522,Ongoing
Naval,Training,Urban,7.769742187588088,Medium,8.19994008693421,Flat,Limited,Excellent,Intermediate,41,Frequently,4.194948244997873,98.00033239776003,Ongoing
Armored,Combat,Coastal,5.793255878442914,High,10.544146824045795,Hierarchical,Minimal,Fair,Basic,0,Frequently,4.708040015738472,61.67106249663469,Ongoing
Armored,Support,Rural,3.3337169533420674,Medium,4.30035998818801,Decentralized,Minimal,Good,Intermediate,27,Rarely,5.749648085083314,75.07536570140363,Ongoing
Armored,Training,Coastal,7.131927439463652,Medium,6.5994882517395075,Decentralized,Minimal,Excellent,Intermediate,7,Rarely,4.955774569489423,75.93238722731769,Ongoing
Infantry,Support,Urban,5.035664509059515,Medium,5.267900467030187,Decentralized,Minimal,Poor,Basic,14,Occasionally,4.440828674569926,55.17765241693537,Ongoing
Armored,Training,Coastal,5.075133717414505,High,4.32320730453906,Flat,Limited,Poor,Advanced,4,Frequently,2.6223291925531074,83.20835521829257,Ongoing
Armored,Reconnaissance,Rural,2.594656984456016,Medium,5.944322867941999,Decentralized,Minimal,Excellent,Intermediate,21,Frequently,3.9485023224602736,69.03328141556123,Ongoing
Armored,Training,Mountainous,3.0199725721937214,High,4.894852252658989,Decentralized,Minimal,Excellent,Basic,19,Rarely,4.523035843710052,76.83189662799639,Ongoing
Infantry,Training,Mountainous,3.3498054001089512,Low,7.465195584552624,Hierarchical,Minimal,Excellent,Intermediate,3,Occasionally,4.724287941564312,65.6284964053054,Ongoing
Armored,Training,Mountainous,5.09292254630838,Low,6.674766899578272,Hierarchical,Limited,Poor,Advanced,44,Frequently,7.429128274320818,66.5139668318453,Ongoing
Naval,Combat,Mountainous,5.15577145396135,High,6.4030762152271885,Decentralized,Extensive,Excellent,Advanced,24,Frequently,6.004014674427501,63.54678785641227,Ongoing
Armored,Reconnaissance,Urban,8.088185327048091,High,7.61569960496402,Flat,Minimal,Good,Advanced,15,Occasionally,3.6474504323097845,56.281020151981075,Successful
Naval,Training,Urban,5.7701103358756685,Medium,4.136450445734627,Flat,Minimal,Fair,Advanced,39,Rarely,5.879736288910324,39.838665188689504,Ongoing
Naval,Training,Rural,-0.41513138734421595,Low,4.974339141058846,Hierarchical,Extensive,Fair,Advanced,45,Rarely,3.1014745340253844,71.19208690727676,Failed
Naval,Support,Rural,5.525283975743381,Medium,7.710169291792675,Hierarchical,Limited,Fair,Advanced,26,Occasionally,3.283318790358403,61.720351908865254,Ongoing
Infantry,Reconnaissance,Rural,2.0999672876649345,Low,4.952971722497063,Flat,Minimal,Good,Advanced,28,Occasionally,3.958078462053498,57.35977965728172,Failed
Infantry,Training,Rural,3.068058150776927,Medium,2.91651846126232,Hierarchical,Limited,Excellent,Advanced,11,Occasionally,4.876156278995018,78.27093856682288,Ongoing
Infantry,Support,Coastal,3.37566105654734,Medium,10.204747538045186,Decentralized,Minimal,Fair,Intermediate,6,Frequently,6.090111841542551,72.21113367310058,Ongoing
Armored,Support,Rural,3.6733233529753964,Low,7.684323719935578,Decentralized,Limited,Poor,Basic,23,Occasionally,5.689432076614874,52.8319134802482,Ongoing
Naval,Combat,Mountainous,2.249701215919394,Medium,9.032187913823918,Decentralized,Limited,Excellent,Basic,4,Rarely,5.9129418765375785,69.5767183322407,Ongoing
Infantry,Support,Mountainous,5.406964006904575,Low,5.549329886571839,Decentralized,Minimal,Poor,Intermediate,46,Frequently,6.638129182630104,63.56184737240077,Ongoing
Infantry,Training,Mountainous,2.1783954298180817,High,4.234936081745728,Hierarchical,Minimal,Fair,Basic,41,Occasionally,6.32860018514288,74.77768098827339,Ongoing
Armored,Combat,Coastal,5.713335214499693,Medium,7.575484829793291,Decentralized,Limited,Good,Basic,32,Occasionally,4.229749552155462,87.30842666282942,Ongoing
Infantry,Combat,Rural,9.47394215412326,Low,4.7966259939889655,Decentralized,Minimal,Fair,Advanced,37,Occasionally,3.9897025328248388,58.23305876478419,Ongoing
Armored,Training,Mountainous,2.3412818821318724,Low,9.038535842885631,Decentralized,Extensive,Fair,Intermediate,39,Rarely,6.016013100218468,64.59943455991937,Ongoing
Aviation,Reconnaissance,Mountainous,4.430979391321555,Medium,7.477051008881455,Decentralized,Limited,Excellent,Advanced,42,Rarely,6.685057061711116,77.25744022579673,Ongoing
Infantry,Support,Mountainous,-0.04691472502493976,Low,7.390208521368772,Flat,Extensive,Excellent,Advanced,5,Rarely,5.869970676392475,61.3487627615111,Ongoing
Aviation,Combat,Mountainous,4.398129414059734,Medium,7.412067047159974,Decentralized,Minimal,Fair,Advanced,7,Frequently,6.459364401108674,72.37175146517724,Ongoing
Armored,Reconnaissance,Urban,6.285434305262967,Medium,11.067518823242327,Hierarchical,Extensive,Good,Intermediate,21,Rarely,5.602101811186716,64.0252299997799,Ongoing
Naval,Training,Rural,6.441278462714534,High,8.30979298576453,Decentralized,Extensive,Poor,Intermediate,49,Occasionally,7.077699230198768,83.94034620441055,Successful
Infantry,Support,Rural,5.154727460568194,High,6.5948448419466565,Flat,Limited,Poor,Intermediate,13,Rarely,4.173359323961759,76.93781245183811,Ongoing
Armored,Support,Coastal,6.778526849517951,High,7.273409484443321,Decentralized,Extensive,Good,Advanced,8,Frequently,6.485097841026594,63.76580122694106,Successful
Naval,Combat,Urban,10.092109071885584,Medium,5.260195797592478,Hierarchical,Minimal,Excellent,Intermediate,12,Rarely,4.857856870312139,67.7239853010943,Ongoing
Naval,Support,Coastal,8.4246093748752,Medium,5.95161657250744,Hierarchical,Limited,Fair,Advanced,49,Frequently,3.2093550261900967,50.924542524017866,Ongoing
Aviation,Support,Mountainous,3.954958141180726,Low,9.502853209130024,Flat,Minimal,Fair,Basic,31,Occasionally,4.572579667132176,68.17862737690875,Ongoing
Armored,Support,Coastal,2.097792027066523,High,7.085000530940819,Hierarchical,Minimal,Fair,Advanced,13,Frequently,5.914372227785043,56.60818156666037,Ongoing
Naval,Support,Mountainous,4.187697166852393,High,8.525465615549283,Hierarchical,Extensive,Poor,Basic,34,Rarely,7.032485626814422,73.29356631864752,Ongoing
Infantry,Training,Mountainous,3.1060344687653036,Low,5.220946982580616,Hierarchical,Minimal,Good,Basic,24,Occasionally,5.1099661759826445,77.21505335621373,Ongoing
